mode: set
go-averroes/cmd/app/main.go:14.13,15.58 1 0
go-averroes/internal/calendar/calendar.go:230.2,233.16 3 0
go-averroes/internal/calendar/calendar.go:233.16,240.3 3 0
go-averroes/internal/calendar/calendar.go:242.2,243.16 2 0
go-averroes/internal/calendar/calendar.go:243.16,250.3 3 0
go-averroes/internal/calendar/calendar.go:252.2,253.16 2 0
go-averroes/internal/calendar/calendar.go:253.16,260.3 3 0
go-averroes/internal/calendar/calendar.go:262.2,262.36 1 0
go-averroes/internal/calendar/calendar.go:262.36,269.3 3 0
go-averroes/internal/calendar/calendar.go:271.2,275.4 2 0
go-averroes/internal/user/user.go:21.39,24.9 3 0
go-averroes/internal/user/user.go:24.9,27.3 2 0
go-averroes/internal/user/user.go:29.2,33.4 2 0
go-averroes/internal/user/user.go:37.39,40.47 3 1
go-averroes/internal/user/user.go:40.47,47.3 3 1
go-averroes/internal/user/user.go:50.2,52.26 3 1
go-averroes/internal/user/user.go:52.26,59.3 3 1
go-averroes/internal/user/user.go:62.2,63.16 2 1
go-averroes/internal/user/user.go:63.16,70.3 3 0
go-averroes/internal/user/user.go:72.2,73.16 2 1
go-averroes/internal/user/user.go:73.16,80.3 3 0
go-averroes/internal/user/user.go:81.2,87.16 3 1
go-averroes/internal/user/user.go:87.16,94.3 3 0
go-averroes/internal/user/user.go:96.2,102.16 3 1
go-averroes/internal/user/user.go:102.16,109.3 3 0
go-averroes/internal/user/user.go:111.2,111.36 1 1
go-averroes/internal/user/user.go:111.36,118.3 3 0
go-averroes/internal/user/user.go:120.2,125.4 2 1
go-averroes/internal/user/user.go:129.42,132.9 3 0
go-averroes/internal/user/user.go:132.9,135.3 2 0
go-averroes/internal/user/user.go:136.2,139.47 3 0
go-averroes/internal/user/user.go:139.47,146.3 3 0
go-averroes/internal/user/user.go:148.2,148.22 1 0
go-averroes/internal/user/user.go:148.22,150.42 2 0
go-averroes/internal/user/user.go:150.42,157.4 3 0
go-averroes/internal/user/user.go:160.2,160.25 1 0
go-averroes/internal/user/user.go:160.25,161.29 1 0
go-averroes/internal/user/user.go:161.29,168.4 3 0
go-averroes/internal/user/user.go:171.2,172.16 2 0
go-averroes/internal/user/user.go:172.16,179.3 3 0
go-averroes/internal/user/user.go:180.2,185.25 4 0
go-averroes/internal/user/user.go:185.25,188.3 2 0
go-averroes/internal/user/user.go:189.2,189.26 1 0
go-averroes/internal/user/user.go:189.26,192.3 2 0
go-averroes/internal/user/user.go:193.2,193.22 1 0
go-averroes/internal/user/user.go:193.22,196.27 3 0
go-averroes/internal/user/user.go:196.27,203.4 3 0
go-averroes/internal/user/user.go:204.3,205.34 2 0
go-averroes/internal/user/user.go:208.2,212.16 4 0
go-averroes/internal/user/user.go:212.16,219.3 3 0
go-averroes/internal/user/user.go:221.2,221.25 1 0
go-averroes/internal/user/user.go:221.25,223.17 2 0
go-averroes/internal/user/user.go:223.17,230.4 3 0
go-averroes/internal/user/user.go:232.3,237.17 2 0
go-averroes/internal/user/user.go:237.17,244.4 3 0
go-averroes/internal/user/user.go:247.2,247.36 1 0
go-averroes/internal/user/user.go:247.36,254.3 3 0
go-averroes/internal/user/user.go:256.2,260.4 2 0
go-averroes/internal/user/user.go:264.42,267.9 3 0
go-averroes/internal/user/user.go:267.9,270.3 2 0
go-averroes/internal/user/user.go:271.2,274.16 3 0
go-averroes/internal/user/user.go:274.16,281.3 3 0
go-averroes/internal/user/user.go:282.2,285.16 3 0
go-averroes/internal/user/user.go:285.16,292.3 3 0
go-averroes/internal/user/user.go:294.2,295.16 2 0
go-averroes/internal/user/user.go:295.16,302.3 3 0
go-averroes/internal/user/user.go:304.2,304.36 1 0
go-averroes/internal/user/user.go:304.36,311.3 3 0
go-averroes/internal/user/user.go:313.2,317.4 2 0
go-averroes/internal/user/user.go:321.52,324.9 3 0
go-averroes/internal/user/user.go:324.9,331.3 3 0
go-averroes/internal/user/user.go:334.2,341.16 2 0
go-averroes/internal/user/user.go:341.16,348.3 3 0
go-averroes/internal/user/user.go:349.2,352.18 3 0
go-averroes/internal/user/user.go:352.18,355.17 3 0
go-averroes/internal/user/user.go:355.17,357.12 2 0
go-averroes/internal/user/user.go:359.3,359.30 1 0
go-averroes/internal/user/user.go:362.2,371.4 3 0
go-averroes/internal/user/user.go:375.45,379.9 3 0
go-averroes/internal/user/user.go:379.9,386.3 3 0
go-averroes/internal/user/user.go:389.2,396.16 2 0
go-averroes/internal/user/user.go:396.16,403.3 3 0
go-averroes/internal/user/user.go:404.2,407.18 3 0
go-averroes/internal/user/user.go:407.18,410.17 3 0
go-averroes/internal/user/user.go:410.17,412.12 2 0
go-averroes/internal/user/user.go:414.3,414.30 1 0
go-averroes/internal/user/user.go:417.2,426.4 3 0
